,Name,Street,City,Location,status,sic
120368,BAFFI LIMITED,"UNIT 11 MITRE BRIDGE INDUSTRIAL PARK, MITRE WAY",LONDON,W106AU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
120787,BAILEYS DRY CLEANERS LTD,"16 MORNING LANE, ",LONDON,E96NA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
121019,BAKALLCO LTD,"FLAT 616, SCHRIER, ROPEWORKS 1 ARBORETUM PLACE",BARKING,IG117GU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
121446,BALAK NATH LIMITED,"126 ABBOTTS ROAD, ",SOUTHALL,UB11HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
121835,BALGORES DRY CLEANING COMPANY LIMITED,"10 WESTERN ROAD, ",ROMFORD,RM13JT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
125319,BARKAT TEXTILECARE LTD,"UNIT 205 ELEPHANT & CASTLE, SHOPPING CENTRE",LONDON,SE16TE,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
126528,BARRY CARING- CLEANING AND DOOR TO DOOR LIMITED,"24 BURNT ASH HEIGHTS, PIKE CLOSE",BROMLEY,BR15BN,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
127387,BASHIR CLEANING SERVICES LTD,"64 THE GREENWAY, ",LONDON,NW95AP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
127989,BATES OF LONDON LIMITED,"4 ARGALL AVENUE, ",LONDON,E107QE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
128260,BATTERSEA DRY CLEANERS LTD,"62 BATTERSEA PARK ROAD, ",LONDON,SW114JP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
129884,BC CLEANING UK LTD,"56B WENDOVER ROAD, ",LONDON,NW104RT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
129950,BC GORING LTD,"DEMSA ACCOUNTS, 278 LANGHAM ROAD",LONDON,N153NP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
130907,BE IN TOUCH LTD,"17 GROSVNER HOUSE, UPPER CLAPTON",LONDON,E59DS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
131314,BEACON HILL CLEANERS LTD,"2 VILLIERS COURT, 40 UPPER MULGRAVE ROAD",CHEAM,SM27AJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
132083,BEAU BRUMMELL LTD,"7 WESTMORELAND HOUSE, CUMBERLAND PARK SCRUBS LANE",LONDON,NW106RE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
132137,BEAUCARE DRYCLEANERS LIMITED,"146 HEATH ROAD, TWICKENHAM",MIDDLESEX,TW14BN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
132241,BEAUFORT PARK DRYCLEANERS LIMITED,"18 HERITAGE AVENUE, ",LONDON,NW95EN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
133078,BEBO 1 LIMITED,"285 UPPER RICHMOND ROAD, ",LONDON,SW156SP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
133151,BECCA IRONING LIMITED,"27 SPRING GARDENS, ",HORNCHURCH,RM125BG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
133807,BEE DRY CLEANERS LTD,"426 HIGH ROAD LEYTON, ",LONDON,E106QE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
134920,BEKYAROV LTD,"55 ARDEN CRESCENT, 55 ARDEN CRESCENT",LONDON,RM96TJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
135162,BELFRY DRY CLEANERS (SURREY) LIMITED,"THE LONG LODGE 265-269, KINGSTON ROAD",WIMBLEDON,SW193NW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
135185,BELGIN LIMITED,"1 TAMAR WAY, ",LONDON,N179HF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
135219,BELGRAVE CLEANING LIMITED,"SUITE ONE, 2 HAYDONS ROAD",LONDON,SW191HL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
136896,BEMROSE LIMITED,"513 LONDON ROAD, CHEAM",SUTTON,SM38JR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
137158,BEN'S DRY CLEANING LIMITED,"21 THE GREEN, THE GREEN",LONDON,N147AB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
138170,BENSONS DRY CLEANERS LIMITED,"305 EAST STREET, ",LONDON,SE172SX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
138275,BENTLEY DRY CLEANERS LIMITED,"2ND FLOOR GADD HOUSE, ARCADIA AVENUE",LONDON,N32JU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
138276,BENTLEY DRY CLEANING LIMITED,"KALCULUS, 119 MARYLEBONE ROAD",LONDON,NW15PU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
139454,BEROSE DRY CLEANERS LIMITED,"60 LOWER RICHMOND ROAD, PUTNEY",LONDON,SW151JT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
140005,BESPOKE DRY CLEANERS LIMITED,"11 KIMBERLEY AVENUE, ",LONDON,E63BE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
140551,BEST DRY CLEANERS (ROMFORD) LTD,"42 COLLIER ROW ROAD, COLLIER ROW",ROMFORD,RM53PA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
140552,BEST DRY CLEANERS LIMITED,"179 MARSH ROAD, ",PINNER,HA55PB,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
140553,BEST DRY CLEANING LTD,"192 KINGSTON ROAD, ",TEDDINGTON,TW119JD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
140755,BEST LOOK CLEANING LTD,"7 HERON COURT, ELMWORTH GROVE",WEST DULWICH,SE218RQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
143731,BHATTI AND KHALID LTD,"687 GREEN LANE, ",DAGENHAM,RM81YA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
146217,BILLALS CLEANING POINT LIMITED,"365 GREEN LANE, ",ILFORD,IG39TQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
152345,BLANC DE PROVENCE CLEAN LIMITED,"79 GEORGE STREET, ",LONDON,W1U8AQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
152378,BLANCHE DRY CLEANERS LTD,"170 CHURCH ROAD, ",MITCHAM,CR43BW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
152479,BLANKSONS LIMITED,"70-72 VICTORIA ROAD, VICTORIA ROAD",RUISLIP,HA40AH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
153003,BLESSED LAUNDRETTE LIMITED,"16 GREENWOOD AVENUE, ENFIELD",MIDDLESEX,EN35DL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
153362,BLISS DRY CLEANERS LIMITED,"LEVEL 4 NORTHWICK PARK HOSPITAL, WATFORD ROAD",HARROW,HA13UJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
154343,BLOSSOM DRYCLEANERS LIMITED,"KEMP HOUSE-152-160, CITY ROAD",LONDON,EC1V2NX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
154889,BLUE BUBBLES LTD,"62 GALE STREET, ",DAGENHAM,RM94PA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
155118,BLUE DRAGON (HILLINGDON) LIMITED,"WHITELEYS PARADE, UXBRIDGE ROAD",UXBRIDGE,UB100NZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
155121,BLUE DRAGON DRY CLEANERS LIMITED,"WHITELEYS PARADE, UXBRIDGE ROAD",HILLINGDON HEATH,UB100NX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
155127,BLUE DRAGON(BEACONSFIELD)LIMITED,"UXBRIDGE ROAD, HILLINGDON HEATH",MIDDLESEX,UB100NZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
155472,BLUE LAUNDERETTE SERVICES LTD,"177 BURNT OAK BROADWAY, ",EDGWARE,HA85EH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
155813,BLUE PEARL DRY CLEANERS LIMITED,"137 HASTINGS ROAD, ",BROMLEY,BR28NQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
158931,BOARDFINE LIMITED,"490 GALE STREET, ",DAGENHAM,RM94NU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
159668,BODYGUARD LIMITED,"85 LONGLANE, LONDON",LONDON,SE14PH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
161288,BONJOUR DRY CLEANERS LTD,"254 GOLDHAWK RD, ",LONDON,W129PE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
161555,BOO (CIRENCESTER) LIMITED,"WARNFORD COURT, 29 THROGMORTON STREET",LONDON,EC2N2AT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
165406,BR3 DRY CLEANERS LIMITED,"834 HERTFORD ROAD, ",ENFIELD,EN36UE,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
165407,BR3 DRY CLEANING SERVICES LTD,"84 KATHERINE ROAD, ",LONDON,E61EN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
169197,BRI CLEAN LIMITED,"1B ARGYLE CORNER, ARGYLE ROAD",LONDON,W130LL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
170576,BRIGHT & WHITE DRY CLEANERS LIMITED,"UNIT 2.2 TRICO HOUSE,, GREAT WEST ROAD",BRENTFORD,TW89BS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
170577,BRIGHT 'N BREEZY LAUNDRY SERVICES LIMITED,"52 HIGH STREET, HAMPTON HILL",MIDDLESEX,TW121PD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
170594,BRIGHT AND KLEAN LIMITED,"GLEN HALL, 30 FRIERN BARNET ROAD",LONDON,N111NA,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
