,name,address_1,address_2,post_town,postcode,sic_code_1,lat,long,borough
114,DELTA FB LTD,24 BEDFORD ROW,,LONDON,WC1R4TQ,56102 - Unlicensed restaurants and cafes,51.520677,-0.116297,Camden
115,SFIZIO LIMITED,24 BEDFORD ROW,,LONDON,WC1R4TQ,56102 - Unlicensed restaurants and cafes,51.520677,-0.116297,Camden
116,BECK'S CATERING LIMITED,28 RED LION STREET,HOLBORN,LONDON,WC1R4PS,56102 - Unlicensed restaurants and cafes,51.519420000000004,-0.116997,Camden
117,LARA WORK ROOM LIMITED,37-41 BEDFORD ROW,,LONDON,WC1R4JH,56102 - Unlicensed restaurants and cafes,51.519706,-0.116337,Camden
118,CATERPILLARS CAFE LIMITED,26-28 BEDFORD ROW,,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,51.520323,-0.116672,Camden
119,COOK & GARCIA RICHMOND LIMITED,1ST FLOOR,26-28 BEDFORD ROW,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,51.520323,-0.116672,Camden
120,EZRA MB LTD,26-28 BEDFORD ROW,,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,51.520323,-0.116672,Camden
121,RASA (MALAYSIA) LIMITED,GANNONS 20-21,JOCKEY'S FIELDS,LONDON,WC1R4BW,56102 - Unlicensed restaurants and cafes,51.520398,-0.115717,Camden
122,THAI DREAMS LIMITED,17 NEW NORTH STREET,BOSWELL COURT BLOOMSBURY,LONDON,WC1N3PJ,56102 - Unlicensed restaurants and cafes,51.520953999999996,-0.12012,Camden
123,FARSEE LIMITED,68 LAMBS CONDUIT STREET,,LONDON,WC1N3LW,56102 - Unlicensed restaurants and cafes,51.522069,-0.11844500000000001,Camden
124,BENCO LIMITED,31-35 GREAT ORMOND STREET,,LONDON,WC1N3HZ,56102 - Unlicensed restaurants and cafes,51.521746,-0.12018800000000002,Camden
125,THE ESPRESSO ROOM LONDON LTD,C/O THE ESPRESSO ROOM,31 - 35 GREAT ORMOND STREET,LONDON,WC1N3HZ,56102 - Unlicensed restaurants and cafes,51.521746,-0.12018800000000002,Camden
126,THE SALAD KITCHEN LIMITED,21-27 LAMBS CONDUIT STREET,,LONDON,WC1N3GS,56102 - Unlicensed restaurants and cafes,51.521069,-0.118299,Camden
127,BILHAM LIMITED,24 BOSWELL STREET,LONDON,,WC1N3BW,56102 - Unlicensed restaurants and cafes,51.520761,-0.120978,Camden
128,CRAVE JERK LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
129,FRESHLY CHOPPED (UK) LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
130,FROZEN MINT LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
131,G.J.COFFEES (UK) LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
132,INSEKTEN LECKEREIEN LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
133,KOFFEE BEAN LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
134,OUCAST CAFES UK LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
